Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,,,,,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.754546095,2.90001469,3.097620399,3.262820738,2.75907988
CAF,,,,,,,,,,,,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,,,,,,1.08695557,1.263854401,1.153088004,1.089759933,,1.089077245,1.549880994,1.747970741,2.409960175
CAN,1.764448615,1.709915638,1.954343585,2.081196249,2.117188855,2.097376234,2.109197118,2.062576371,1.986767119,1.934614309,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.114349802,1.133356283,1.116869147,1.111937307,1.104189391,1.107105424,1.122524729,1.18579023,1.245518367,1.377555631,1.194338338
CEB,,,,,,,,3.598332454,3.947421532,4.052839734,,2.740756476,2.818738233,2.658570829,2.677709304,2.364451503,2.242184369,2.249506056,2.116159433,1.953459711,1.860185079,1.89143553,1.893633395,1.859247833,1.751988874,1.773333844,1.693995506,1.651370723,1.529402973,1.521047905,1.471844809
CHE,1.678606546,1.662802221,1.728194511,1.748805589,1.701248303,1.824971868,1.661021951,1.561866055,1.564805264,1.524165367,1.572147188,1.537824886,1.523709272,1.366964345,1.332284094,1.355810883,1.283756802,1.220864103,1.185203901,1.086212205,1.029280117,0.99188008,0.95638835,0.926630419,0.888925075,0.833064037,0.753808478,0.718232324,0.722484412,0.731793377,0.687220166
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,6.48209287,7.022118889,8.877267738,7.575222602,7.605406176,6.900608611,6.288002199,5.638071075,4.13999608,3.590029509,3.401654859,2.849842767,2.628510469,2.706922937,2.597544983,2.562064629,2.449320898,2.498201924,2.589837226,2.713631594,2.688615886,2.647049152,2.531542942,2.70297151,2.712290407,2.534762993,2.506082143,2.330980634,2.583652259,2.276507868,2.254240915
